Driver,Coef,GP,Year
VER,0.0,Japanese Grand Prix,2024
ALB,2.4453542896704805,Japanese Grand Prix,2024
ALO,0.915424138961634,Japanese Grand Prix,2024
BOT,1.3812914956788303,Japanese Grand Prix,2024
GAS,2.0220087175763455,Japanese Grand Prix,2024
HAM,0.7752340252791452,Japanese Grand Prix,2024
HUL,1.570234191157436,Japanese Grand Prix,2024
LAW,1.6367528575053916,Japanese Grand Prix,2024
LEC,0.5053723031232273,Japanese Grand Prix,2024
MAG,1.8019729356339278,Japanese Grand Prix,2024
NOR,0.21379621222028647,Japanese Grand Prix,2024
OCO,1.845191097363733,Japanese Grand Prix,2024
PER,0.32854079377427503,Japanese Grand Prix,2024
PIA,0.600519566267942,Japanese Grand Prix,2024
RUS,0.7321077752908466,Japanese Grand Prix,2024
SAI,0.47576148136360846,Japanese Grand Prix,2024
SAR,1.9188866281031236,Japanese Grand Prix,2024
STR,1.571792961555108,Japanese Grand Prix,2024
TSU,1.5046563035977645,Japanese Grand Prix,2024
ZHO,1.9261081625215917,Japanese Grand Prix,2024
VER,0.0,Saudi Arabian Grand Prix,2024
ALB,1.8489336079490926,Saudi Arabian Grand Prix,2024
ALO,0.9424315887884749,Saudi Arabian Grand Prix,2024
BEA,0.8790312928336821,Saudi Arabian Grand Prix,2024
BOT,1.6251488301089503,Saudi Arabian Grand Prix,2024
DEV,1.6183602669941681,Saudi Arabian Grand Prix,2024
GAS,1.4056639197801672,Saudi Arabian Grand Prix,2024
GIO,1.6761036273724077,Saudi Arabian Grand Prix,2024
HAM,0.5181429678422909,Saudi Arabian Grand Prix,2024
HUL,1.634112404858266,Saudi Arabian Grand Prix,2024
LAT,2.7781025430095525,Saudi Arabian Grand Prix,2024
LEC,0.2970638664810483,Saudi Arabian Grand Prix,2024
MAG,1.2966812085722204,Saudi Arabian Grand Prix,2024
MAZ,4.142860659586116,Saudi Arabian Grand Prix,2024
MSC,2.8913048970300217,Saudi Arabian Grand Prix,2024
NOR,1.1837355366452518,Saudi Arabian Grand Prix,2024
OCO,1.3295123313807125,Saudi Arabian Grand Prix,2024
PER,0.029976490749220375,Saudi Arabian Grand Prix,2024
PIA,0.9755703647572189,Saudi Arabian Grand Prix,2024
RAI,2.2859029439952288,Saudi Arabian Grand Prix,2024
RIC,1.6946019792228035,Saudi Arabian Grand Prix,2024
RUS,0.749479888616194,Saudi Arabian Grand Prix,2024
SAI,0.4784057258480665,Saudi Arabian Grand Prix,2024
SAR,1.7999209426267173,Saudi Arabian Grand Prix,2024
STR,1.8501166168671377,Saudi Arabian Grand Prix,2024
TSU,1.4894894826094003,Saudi Arabian Grand Prix,2024
VET,2.3519640889811058,Saudi Arabian Grand Prix,2024
ZHO,1.7339702650939035,Saudi Arabian Grand Prix,2024
VER,0.0,Australian Grand Prix,2024
ALB,1.0230455106230791,Australian Grand Prix,2024
ALO,0.5405295160988434,Australian Grand Prix,2024
BOT,1.1281471948433883,Australian Grand Prix,2024
DEV,1.6559097528819327,Australian Grand Prix,2024
GAS,0.8213712351464547,Australian Grand Prix,2024
HAM,0.18738416171618438,Australian Grand Prix,2024
HUL,0.7914316533178293,Australian Grand Prix,2024
LAT,1.7993740036345667,Australian Grand Prix,2024
LEC,-0.4350250845812275,Australian Grand Prix,2024
MAG,1.0624872455884111,Australian Grand Prix,2024
MSC,1.1013200631040623,Australian Grand Prix,2024
NOR,0.2745932384082768,Australian Grand Prix,2024
OCO,0.8827109640036646,Australian Grand Prix,2024
PER,0.1814447658632639,Australian Grand Prix,2024
PIA,0.40265221441703897,Australian Grand Prix,2024
RIC,0.907915667075197,Australian Grand Prix,2024
RUS,0.18380057641678565,Australian Grand Prix,2024
SAI,-0.07939726654237617,Australian Grand Prix,2024
SAR,1.5533687577282365,Australian Grand Prix,2024
STR,0.8106801853426258,Australian Grand Prix,2024
TSU,1.2035130493601496,Australian Grand Prix,2024
VET,1.4851460543925465,Australian Grand Prix,2024
ZHO,1.1269131506735834,Australian Grand Prix,2024
VER,0.0,Bahrain Grand Prix,2024
ALB,1.935323777646925,Bahrain Grand Prix,2024
ALO,1.0804238170323082,Bahrain Grand Prix,2024
BOT,1.1428136873285468,Bahrain Grand Prix,2024
DEV,1.8998957997077097,Bahrain Grand Prix,2024
GAS,1.3716098251036601,Bahrain Grand Prix,2024
GIO,1.4605454525324344,Bahrain Grand Prix,2024
HAM,0.40783407661272353,Bahrain Grand Prix,2024
HUL,1.8302097432070887,Bahrain Grand Prix,2024
LAT,3.1193978701385383,Bahrain Grand Prix,2024
LEC,0.4698407132047515,Bahrain Grand Prix,2024
MAG,1.5664813229448638,Bahrain Grand Prix,2024
MSC,2.447026828973738,Bahrain Grand Prix,2024
NOR,1.223820037531699,Bahrain Grand Prix,2024
OCO,1.6219302644873963,Bahrain Grand Prix,2024
PER,0.17958927988597018,Bahrain Grand Prix,2024
PIA,1.0089799501825611,Bahrain Grand Prix,2024
RAI,1.3714749571945735,Bahrain Grand Prix,2024
RIC,1.652544222184084,Bahrain Grand Prix,2024
RUS,0.9790778846500284,Bahrain Grand Prix,2024
SAI,0.5884756080543916,Bahrain Grand Prix,2024
SAR,1.7997990290288608,Bahrain Grand Prix,2024
STR,1.379976149737446,Bahrain Grand Prix,2024
TSU,1.3672752664654109,Bahrain Grand Prix,2024
VET,1.7390934931724242,Bahrain Grand Prix,2024
ZHO,1.470140587381831,Bahrain Grand Prix,2024
VER,0.0,Emilia Romagna Grand Prix,2024
ALB,1.0165265183717163,Emilia Romagna Grand Prix,2024
ALO,1.1997806507535682,Emilia Romagna Grand Prix,2024
BOT,1.1254466411682813,Emilia Romagna Grand Prix,2024
GAS,1.0801379906412585,Emilia Romagna Grand Prix,2024
GIO,1.6409131638565837,Emilia Romagna Grand Prix,2024
HAM,0.489815673100586,Emilia Romagna Grand Prix,2024
HUL,1.391856592084448,Emilia Romagna Grand Prix,2024
LAT,1.3830879054474075,Emilia Romagna Grand Prix,2024
LEC,0.05179167357574016,Emilia Romagna Grand Prix,2024
MAG,1.2149211716325876,Emilia Romagna Grand Prix,2024
MAZ,3.128619209137777,Emilia Romagna Grand Prix,2024
MSC,1.4627153191101392,Emilia Romagna Grand Prix,2024
NOR,0.29382818353881307,Emilia Romagna Grand Prix,2024
OCO,1.3460154006340368,Emilia Romagna Grand Prix,2024
PER,0.604857822377576,Emilia Romagna Grand Prix,2024
PIA,0.025670697119064705,Emilia Romagna Grand Prix,2024
RAI,1.594411204497181,Emilia Romagna Grand Prix,2024
RIC,1.3687547571352279,Emilia Romagna Grand Prix,2024
RUS,0.5870084833834488,Emilia Romagna Grand Prix,2024
SAI,0.2845215803368139,Emilia Romagna Grand Prix,2024
SAR,1.6695028725600418,Emilia Romagna Grand Prix,2024
STR,1.041000047474837,Emilia Romagna Grand Prix,2024
TSU,0.9922577136089986,Emilia Romagna Grand Prix,2024
VET,1.415342722206045,Emilia Romagna Grand Prix,2024
ZHO,1.4350350816905428,Emilia Romagna Grand Prix,2024
VER,0.0,Miami Grand Prix,2024
ALB,1.2572870859724596,Miami Grand Prix,2024
ALO,1.0337313521215648,Miami Grand Prix,2024
BOT,1.2700373906382734,Miami Grand Prix,2024
DEV,1.5455450977969156,Miami Grand Prix,2024
GAS,1.1567365074609586,Miami Grand Prix,2024
HAM,0.782614036621733,Miami Grand Prix,2024
HUL,1.2535174741621016,Miami Grand Prix,2024
LAT,2.5167893415634035,Miami Grand Prix,2024
LEC,0.3551078211477778,Miami Grand Prix,2024
MAG,1.2480835090078974,Miami Grand Prix,2024
MSC,1.213077704401278,Miami Grand Prix,2024
NOR,0.973133854517366,Miami Grand Prix,2024
OCO,1.1929416846303864,Miami Grand Prix,2024
PER,0.40985722236358335,Miami Grand Prix,2024
PIA,1.1449976163333946,Miami Grand Prix,2024
