Driver,BestLapTime_FP1,BestLapTime_FP2,BestLapTime_FP3,BestLapTime_Qualy,GP,Year
ALB,96.018,92.44,93.882,91.461,Bahrain Grand Prix,2023
ALO,93.196,90.907,92.34,90.336,Bahrain Grand Prix,2023
BOT,94.689,91.793,93.629,91.443,Bahrain Grand Prix,2023
DEV,95.402,92.605,94.082,92.121,Bahrain Grand Prix,2023
GAS,95.455,91.475,93.064,91.818,Bahrain Grand Prix,2023
HAM,94.917,91.543,92.555,90.384,Bahrain Grand Prix,2023
HUL,95.043,91.376,93.423,90.809,Bahrain Grand Prix,2023
LEC,94.257,91.367,92.624,90.0,Bahrain Grand Prix,2023
MAG,94.402,92.11,93.381,91.892,Bahrain Grand Prix,2023
NOR,94.165,91.57,93.202,91.381,Bahrain Grand Prix,2023
OCO,95.105,91.608,93.116,90.914,Bahrain Grand Prix,2023
PER,92.758,91.078,92.446,89.846,Bahrain Grand Prix,2023
PIA,94.997,92.024,93.045,92.101,Bahrain Grand Prix,2023
RUS,94.966,91.882,92.731,90.34,Bahrain Grand Prix,2023
SAI,96.072,91.956,92.945,90.154,Bahrain Grand Prix,2023
SAR,95.749,92.749,93.665,91.652,Bahrain Grand Prix,2023
STR,94.298,91.45,92.919,90.836,Bahrain Grand Prix,2023
TSU,95.015,92.525,93.475,91.4,Bahrain Grand Prix,2023
VER,93.375,91.076,92.345,89.708,Bahrain Grand Prix,2023
ZHO,94.575,91.586,93.18,91.473,Bahrain Grand Prix,2023
ALB,91.03,90.81,89.983,89.994,Saudi Arabian Grand Prix,2023
ALO,90.315,89.811,89.483,88.73,Saudi Arabian Grand Prix,2023
BOT,91.97,91.052,90.317,89.668,Saudi Arabian Grand Prix,2023
DEV,91.45,90.921,,90.244,Saudi Arabian Grand Prix,2023
GAS,90.949,90.1,89.701,89.357,Saudi Arabian Grand Prix,2023
HAM,90.787,90.599,89.568,89.223,Saudi Arabian Grand Prix,2023
HUL,91.552,90.181,89.933,89.451,Saudi Arabian Grand Prix,2023
LEC,91.118,90.341,89.588,88.42,Saudi Arabian Grand Prix,2023
MAG,91.566,90.82,90.131,89.517,Saudi Arabian Grand Prix,2023
NOR,92.149,90.721,89.69,90.447,Saudi Arabian Grand Prix,2023
OCO,91.181,90.039,89.953,89.078,Saudi Arabian Grand Prix,2023
PER,90.1,89.902,89.098,88.265,Saudi Arabian Grand Prix,2023
PIA,91.491,90.964,89.698,89.243,Saudi Arabian Grand Prix,2023
RUS,90.771,90.07,89.811,88.857,Saudi Arabian Grand Prix,2023
SAI,90.924,90.592,89.761,88.931,Saudi Arabian Grand Prix,2023
SAR,91.922,90.959,90.035,89.721,Saudi Arabian Grand Prix,2023
STR,90.577,90.11,89.509,88.945,Saudi Arabian Grand Prix,2023
TSU,91.11,90.776,90.797,89.939,Saudi Arabian Grand Prix,2023
VER,89.617,89.603,88.485,88.761,Saudi Arabian Grand Prix,2023
ZHO,91.986,90.837,89.917,89.461,Saudi Arabian Grand Prix,2023
ALB,79.766,81.182,78.553,77.609,Australian Grand Prix,2023
ALO,79.317,78.887,77.727,77.139,Australian Grand Prix,2023
BOT,80.419,80.312,78.809,78.714,Australian Grand Prix,2023
DEV,79.933,80.6,79.092,78.335,Australian Grand Prix,2023
GAS,79.646,80.206,78.094,77.574,Australian Grand Prix,2023
HAM,79.223,80.323,78.138,77.104,Australian Grand Prix,2023
HUL,79.806,80.194,78.41,77.412,Australian Grand Prix,2023
LEC,79.378,79.332,78.691,77.369,Australian Grand Prix,2023
MAG,81.147,81.266,79.056,78.129,Australian Grand Prix,2023
NOR,79.536,80.176,79.146,78.119,Australian Grand Prix,2023
OCO,80.175,79.725,77.938,77.768,Australian Grand Prix,2023
PER,79.293,80.083,78.123,100.187,Australian Grand Prix,2023
PIA,79.777,80.38,78.713,78.517,Australian Grand Prix,2023
RUS,79.699,79.672,77.955,76.968,Australian Grand Prix,2023
SAI,79.505,79.695,78.127,77.27,Australian Grand Prix,2023
SAR,80.074,,78.947,78.557,Australian Grand Prix,2023
STR,79.766,80.579,78.198,77.308,Australian Grand Prix,2023
TSU,80.399,80.22,78.901,78.099,Australian Grand Prix,2023
VER,78.79,79.502,77.565,76.732,Australian Grand Prix,2023
ZHO,80.569,80.47,78.33,78.54,Australian Grand Prix,2023
ALB,91.903,89.046,88.561,87.795,Miami Grand Prix,2023
ALO,91.231,88.66,88.618,87.097,Miami Grand Prix,2023
BOT,91.902,89.189,88.456,87.564,Miami Grand Prix,2023
DEV,94.637,89.928,89.447,88.325,Miami Grand Prix,2023
GAS,91.104,89.098,88.428,87.612,Miami Grand Prix,2023
HAM,90.337,88.858,88.718,87.846,Miami Grand Prix,2023
HUL,91.392,89.393,88.497,87.903,Miami Grand Prix,2023
LEC,90.449,88.398,87.941,86.964,Miami Grand Prix,2023
MAG,91.853,89.171,88.607,87.673,Miami Grand Prix,2023
NOR,91.997,88.741,89.401,88.394,Miami Grand Prix,2023
OCO,91.542,88.937,88.407,87.444,Miami Grand Prix,2023
PER,91.566,88.419,88.05,86.841,Miami Grand Prix,2023
PIA,91.81,89.339,89.375,88.484,Miami Grand Prix,2023
RUS,90.125,89.216,88.606,87.743,Miami Grand Prix,2023
SAI,90.724,88.315,88.125,87.148,Miami Grand Prix,2023
SAR,92.619,90.038,89.264,88.577,Miami Grand Prix,2023
STR,91.337,88.93,88.723,88.476,Miami Grand Prix,2023
TSU,92.169,89.613,89.179,88.429,Miami Grand Prix,2023
VER,90.549,87.93,87.535,86.814,Miami Grand Prix,2023
ZHO,92.134,89.181,89.074,88.091,Miami Grand Prix,2023
ALB,74.666,74.217,73.93,72.527,Monaco Grand Prix,2023
ALO,73.71,72.682,73.697,71.449,Monaco Grand Prix,2023
BOT,74.718,73.05,73.521,72.625,Monaco Grand Prix,2023
DEV,75.083,73.663,74.187,72.428,Monaco Grand Prix,2023
GAS,74.866,73.089,73.453,71.933,Monaco Grand Prix,2023
HAM,74.035,72.96,73.486,71.725,Monaco Grand Prix,2023
HUL,75.785,73.52,73.65,73.279,Monaco Grand Prix,2023
LEC,74.093,72.527,73.475,71.471,Monaco Grand Prix,2023
MAG,74.725,73.457,73.624,73.27,Monaco Grand Prix,2023
NOR,74.467,72.906,73.396,72.254,Monaco Grand Prix,2023
OCO,74.585,73.162,73.496,71.553,Monaco Grand Prix,2023
PER,74.038,72.991,72.849,73.85,Monaco Grand Prix,2023
PIA,75.192,73.673,73.998,72.395,Monaco Grand Prix,2023
RUS,75.066,73.191,73.59,71.964,Monaco Grand Prix,2023
SAI,73.372,72.569,73.261,71.63,Monaco Grand Prix,2023
SAR,75.557,74.238,73.851,73.113,Monaco Grand Prix,2023
STR,74.653,73.185,72.942,72.623,Monaco Grand Prix,2023
TSU,74.82,73.641,73.738,72.082,Monaco Grand Prix,2023
VER,74.244,72.462,72.776,71.365,Monaco Grand Prix,2023
ZHO,75.684,73.354,73.772,73.523,Monaco Grand Prix,2023
ALB,76.63,75.056,75.851,74.063,Spanish Grand Prix,2023
ALO,75.547,74.077,74.264,73.098,Spanish Grand Prix,2023
BOT,75.978,74.448,74.36,73.977,Spanish Grand Prix,2023
DEV,75.504,74.785,74.693,73.581,Spanish Grand Prix,2023
GAS,75.545,74.457,75.841,72.816,Spanish Grand Prix,2023
HAM,75.845,74.549,74.072,72.818,Spanish Grand Prix,2023
HUL,76.461,74.177,74.988,73.229,Spanish Grand Prix,2023
LEC,75.694,74.246,74.353,74.079,Spanish Grand Prix,2023
MAG,75.689,74.713,75.534,74.042,Spanish Grand Prix,2023
NOR,75.783,74.694,74.681,72.776,Spanish Grand Prix,2023
OCO,75.418,74.242,75.266,73.001,Spanish Grand Prix,2023
PER,75.374,74.219,73.914,73.334,Spanish Grand Prix,2023
PIA,76.353,74.583,75.105,73.059,Spanish Grand Prix,2023
RUS,75.753,74.392,74.278,73.326,Spanish Grand Prix,2023
SAI,75.726,74.274,74.24,72.734,Spanish Grand Prix,2023
SAR,76.506,75.415,76.529,74.699,Spanish Grand Prix,2023
STR,75.939,75.01,74.756,72.994,Spanish Grand Prix,2023
TSU,75.915,74.84,74.659,73.316,Spanish Grand Prix,2023
VER,74.606,73.907,73.664,72.272,Spanish Grand Prix,2023
ZHO,75.906,74.585,74.681,73.521,Spanish Grand Prix,2023
ALB,,75.003,85.379,78.725,Canadian Grand Prix,2023
ALO,79.807,74.044,84.483,79.776,Canadian Grand Prix,2023
BOT,78.728,74.22,84.988,81.821,Canadian Grand Prix,2023
DEV,92.274,75.002,85.725,83.137,Canadian Grand Prix,2023
GAS,,74.477,84.825,82.886,Canadian Grand Prix,2023
HAM,,73.718,85.087,80.426,Canadian Grand Prix,2023
HUL,84.336,76.369,85.14,80.305,Canadian Grand Prix,2023
LEC,86.809,74.094,83.397,80.615,Canadian Grand Prix,2023
MAG,84.045,74.544,84.715,81.678,Canadian Grand Prix,2023
NOR,126.349,74.617,85.198,79.347,Canadian Grand Prix,2023
OCO,,75.092,86.84,80.406,Canadian Grand Prix,2023
PER,80.154,74.25,85.857,80.959,Canadian Grand Prix,2023
PIA,81.496,74.533,85.191,79.659,Canadian Grand Prix,2023
RUS,,73.745,85.435,80.098,Canadian Grand Prix,2023
SAI,85.991,73.844,84.765,79.856,Canadian Grand Prix,2023
SAR,109.568,75.426,87.279,83.337,Canadian Grand Prix,2023
STR,79.175,74.419,84.944,81.484,Canadian Grand Prix,2023
TSU,114.143,74.941,84.955,82.746,Canadian Grand Prix,2023
VER,80.231,74.142,83.106,79.092,Canadian Grand Prix,2023
