LapTime,LapNumber,Interval_front,Interval_behind,PitIn,PitOut,Driver,Compound,Compound_Detail,Year,TyreLife,GP,Position,TrackStatus
130.735,1.0,100.0,0.0,1,0,VER,MEDIUM,C2,2024,1.0,Japanese Grand Prix,1.0,125
,1.0,0.0,0.0,0,0,RIC,MEDIUM,C2,2024,1.0,Japanese Grand Prix,,125
,1.0,0.0,1.9980000000000473,0,0,ALB,SOFT,C3,2024,1.0,Japanese Grand Prix,,125
132.767,1.0,1.9980000000000473,1.9839999999999236,1,0,PER,MEDIUM,C2,2024,1.0,Japanese Grand Prix,2.0,125
134.751,1.0,1.9839999999999236,2.8650000000002365,1,0,NOR,MEDIUM,C2,2024,1.0,Japanese Grand Prix,3.0,125
137.613,1.0,2.8650000000002365,2.9270000000001346,1,0,SAI,MEDIUM,C2,2024,1.0,Japanese Grand Prix,4.0,125
140.526,1.0,2.9270000000001346,3.8239999999996144,1,0,ALO,SOFT,C3,2024,1.0,Japanese Grand Prix,5.0,125
144.356,1.0,3.8239999999996144,8.442000000000007,1,0,PIA,MEDIUM,C2,2024,1.0,Japanese Grand Prix,6.0,125
152.716,1.0,8.442000000000007,1.663000000000011,1,0,HAM,MEDIUM,C2,2024,1.0,Japanese Grand Prix,7.0,125
154.543,1.0,1.663000000000011,5.074000000000069,1,0,LEC,MEDIUM,C2,2024,1.0,Japanese Grand Prix,8.0,125
159.587,1.0,5.074000000000069,3.3409999999998945,1,0,RUS,MEDIUM,C2,2024,1.0,Japanese Grand Prix,9.0,125
162.853,1.0,3.3409999999998945,1.9150000000004184,1,0,HUL,SOFT,C3,2024,1.0,Japanese Grand Prix,10.0,125
164.736,1.0,1.9150000000004184,2.7369999999996253,1,0,BOT,SOFT,C3,2024,1.0,Japanese Grand Prix,11.0,125
167.566,1.0,2.7369999999996253,2.742999999999938,1,0,TSU,MEDIUM,C2,2024,1.0,Japanese Grand Prix,12.0,125
170.167,1.0,2.742999999999938,2.899000000000342,1,0,OCO,SOFT,C3,2024,1.0,Japanese Grand Prix,13.0,125
173.223,1.0,2.899000000000342,6.513999999999669,1,0,GAS,SOFT,C3,2024,1.0,Japanese Grand Prix,14.0,125
179.595,1.0,6.513999999999669,5.551000000000386,1,0,STR,SOFT,C3,2024,1.0,Japanese Grand Prix,15.0,125
185.172,1.0,5.551000000000386,3.326000000000022,1,0,MAG,MEDIUM,C2,2024,1.0,Japanese Grand Prix,16.0,125
188.456,1.0,3.326000000000022,6.608999999999924,1,0,SAR,SOFT,C3,2024,1.0,Japanese Grand Prix,17.0,125
195.118,1.0,6.608999999999924,100.0,1,0,ZHO,MEDIUM,C2,2024,1.0,Japanese Grand Prix,18.0,125
,2.0,100.0,2.238999999999578,0,1,VER,MEDIUM,C2,2024,2.0,Japanese Grand Prix,1.0,1
,2.0,2.238999999999578,1.1950000000006185,0,1,PER,MEDIUM,C2,2024,2.0,Japanese Grand Prix,2.0,1
,2.0,1.1950000000006185,4.492999999999483,0,1,NOR,MEDIUM,C2,2024,2.0,Japanese Grand Prix,3.0,1
,2.0,4.492999999999483,5.34900000000016,0,1,SAI,MEDIUM,C2,2024,1.0,Japanese Grand Prix,4.0,1
,2.0,5.34900000000016,3.463999999999942,0,1,ALO,SOFT,C3,2024,2.0,Japanese Grand Prix,5.0,1
,2.0,3.463999999999942,4.069000000000415,0,1,PIA,MEDIUM,C2,2024,2.0,Japanese Grand Prix,6.0,1
,2.0,4.069000000000415,3.4309999999995853,0,1,HAM,HARD,C1,2024,1.0,Japanese Grand Prix,7.0,1
,2.0,3.4309999999995853,2.382999999999811,0,1,LEC,MEDIUM,C2,2024,1.0,Japanese Grand Prix,8.0,1
,2.0,2.382999999999811,2.9080000000003565,0,1,RUS,HARD,C1,2024,1.0,Japanese Grand Prix,9.0,1
,2.0,2.9080000000003565,1.8140000000003056,0,1,HUL,SOFT,C3,2024,2.0,Japanese Grand Prix,10.0,1
,2.0,1.8140000000003056,8.461999999999534,0,1,BOT,SOFT,C3,2024,2.0,Japanese Grand Prix,11.0,1
,2.0,8.461999999999534,3.1729999999997744,0,1,OCO,HARD,C1,2024,1.0,Japanese Grand Prix,12.0,1
,2.0,3.1729999999997744,3.204000000000633,0,1,GAS,HARD,C1,2024,1.0,Japanese Grand Prix,13.0,1
,2.0,3.204000000000633,2.5799999999999272,0,1,STR,SOFT,C3,2024,1.0,Japanese Grand Prix,14.0,1
,2.0,2.5799999999999272,2.251999999999498,0,1,MAG,MEDIUM,C2,2024,1.0,Japanese Grand Prix,15.0,1
,2.0,2.251999999999498,1.686000000000604,0,1,SAR,HARD,C1,2024,1.0,Japanese Grand Prix,16.0,1
,2.0,1.686000000000604,123.00900000000001,0,1,ZHO,SOFT,C3,2024,1.0,Japanese Grand Prix,17.0,1
,2.0,123.00900000000001,100.0,0,1,TSU,SOFT,C3,2024,4.0,Japanese Grand Prix,18.0,1
,3.0,100.0,0.9909999999999854,0,0,VER,MEDIUM,C2,2024,3.0,Japanese Grand Prix,1.0,1
,3.0,0.9909999999999854,0.9070000000001528,0,0,PER,MEDIUM,C2,2024,3.0,Japanese Grand Prix,2.0,1
,3.0,0.9070000000001528,0.467000000000553,0,0,NOR,MEDIUM,C2,2024,3.0,Japanese Grand Prix,3.0,1
,3.0,0.467000000000553,0.6059999999997672,0,0,SAI,MEDIUM,C2,2024,2.0,Japanese Grand Prix,4.0,1
,3.0,0.6059999999997672,0.8800000000001091,0,0,ALO,SOFT,C3,2024,3.0,Japanese Grand Prix,5.0,1
,3.0,0.8800000000001091,0.5749999999998181,0,0,PIA,MEDIUM,C2,2024,3.0,Japanese Grand Prix,6.0,1
,3.0,0.5749999999998181,0.6279999999997017,0,0,LEC,MEDIUM,C2,2024,2.0,Japanese Grand Prix,7.0,1
,3.0,0.6279999999997017,0.9070000000001528,0,0,HAM,HARD,C1,2024,2.0,Japanese Grand Prix,8.0,1
,3.0,0.9070000000001528,0.43100000000049477,0,0,TSU,SOFT,C3,2024,5.0,Japanese Grand Prix,9.0,1
,3.0,0.43100000000049477,0.8329999999996289,0,0,RUS,HARD,C1,2024,2.0,Japanese Grand Prix,10.0,1
140.237,3.0,0.8329999999996289,0.2920000000003711,0,0,OCO,HARD,C1,2024,2.0,Japanese Grand Prix,11.0,1
148.991,3.0,0.2920000000003711,0.5299999999997453,0,0,BOT,SOFT,C3,2024,3.0,Japanese Grand Prix,12.0,1
134.682,3.0,0.5299999999997453,0.47599999999965803,0,0,STR,SOFT,C3,2024,2.0,Japanese Grand Prix,13.0,1
138.362,3.0,0.47599999999965803,0.4180000000005748,0,0,GAS,HARD,C1,2024,2.0,Japanese Grand Prix,14.0,1
132.996,3.0,0.4180000000005748,0.23099999999976717,0,0,MAG,MEDIUM,C2,2024,2.0,Japanese Grand Prix,15.0,1
129.289,3.0,0.23099999999976717,0.5050000000001091,0,0,ZHO,SOFT,C3,2024,2.0,Japanese Grand Prix,16.0,1
,3.0,0.5050000000001091,1.1229999999995925,0,0,HUL,SOFT,C3,2024,3.0,Japanese Grand Prix,17.0,1
132.603,3.0,1.1229999999995925,100.0,0,0,SAR,HARD,C1,2024,2.0,Japanese Grand Prix,18.0,1
96.472,4.0,100.0,1.0919999999996435,0,0,VER,MEDIUM,C2,2024,4.0,Japanese Grand Prix,1.0,1
96.573,4.0,1.0919999999996435,1.1869999999998981,0,0,PER,MEDIUM,C2,2024,4.0,Japanese Grand Prix,2.0,1
96.853,4.0,1.1869999999998981,0.8389999999999418,0,0,NOR,MEDIUM,C2,2024,4.0,Japanese Grand Prix,3.0,1
97.225,4.0,0.8389999999999418,0.8339999999998327,0,0,SAI,MEDIUM,C2,2024,3.0,Japanese Grand Prix,4.0,1
97.453,4.0,0.8339999999998327,1.1610000000000582,0,0,ALO,SOFT,C3,2024,4.0,Japanese Grand Prix,5.0,1
97.734,4.0,1.1610000000000582,1.1090000000003783,0,0,PIA,MEDIUM,C2,2024,4.0,Japanese Grand Prix,6.0,1
98.268,4.0,1.1090000000003783,0.6629999999995562,0,0,LEC,MEDIUM,C2,2024,3.0,Japanese Grand Prix,7.0,1
98.303,4.0,0.6629999999995562,1.7120000000004438,0,0,HAM,HARD,C1,2024,3.0,Japanese Grand Prix,8.0,1
99.108,4.0,1.7120000000004438,0.29899999999997817,0,0,TSU,SOFT,C3,2024,6.0,Japanese Grand Prix,9.0,1
98.976,4.0,0.29899999999997817,1.3980000000001382,0,0,RUS,HARD,C1,2024,3.0,Japanese Grand Prix,10.0,1
99.541,4.0,1.3980000000001382,0.21299999999973807,0,0,OCO,HARD,C1,2024,3.0,Japanese Grand Prix,11.0,1
99.462,4.0,0.21299999999973807,0.5960000000004584,0,0,BOT,SOFT,C3,2024,4.0,Japanese Grand Prix,12.0,1
99.528,4.0,0.5960000000004584,0.8729999999995925,0,0,STR,SOFT,C3,2024,3.0,Japanese Grand Prix,13.0,1
99.925,4.0,0.8729999999995925,0.5960000000004584,0,0,GAS,HARD,C1,2024,3.0,Japanese Grand Prix,14.0,1
100.103,4.0,0.5960000000004584,0.35599999999976717,0,0,MAG,MEDIUM,C2,2024,3.0,Japanese Grand Prix,15.0,1
