gp_idx,algo,display_name,real_starting_pos,real_finishing_pos,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),6,9,5,-1592.3957977294922,4,True
0,A2C,Bahrain GP (ALO),6,9,3,418.19049072265625,2,True
0,A2C,Bahrain GP (ALO),6,9,12,-5436.651557922363,2,True
0,A2C,Bahrain GP (ALO),6,9,15,-5901.61149597168,2,True
0,A2C,Bahrain GP (ALO),6,9,1,3923.542549133301,1,True
0,A2C,Bahrain GP (ALO),6,9,16,-5830.191192626953,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3644.278114318848,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4379.502914428711,2,True
0,A2C,Bahrain GP (ALO),6,9,20,-12026.811088562012,0,False
0,A2C,Bahrain GP (ALO),6,9,3,429.5393600463867,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2148.5222549438477,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2344.201446533203,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-847.9212188720703,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1817.9698944091797,4,True
0,A2C,Bahrain GP (ALO),6,9,13,-5610.451637268066,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-4833.981307983398,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3629.882148742676,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-845.6128768920898,2,True
0,A2C,Bahrain GP (ALO),6,9,3,200.284423828125,3,True
0,A2C,Bahrain GP (ALO),6,9,3,202.9379653930664,1,True
0,A2C,Bahrain GP (ALO),6,9,3,423.8545608520508,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4387.415962219238,3,True
0,A2C,Bahrain GP (ALO),6,9,7,-2682.245506286621,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4602.880966186523,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-844.5664138793945,4,True
0,A2C,Bahrain GP (ALO),6,9,7,-2889.686462402344,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-1929.746612548828,2,True
0,A2C,Bahrain GP (ALO),6,9,14,-5746.980575561523,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2880.691604614258,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-5677.324745178223,1,True
0,A2C,Bahrain GP (ALO),6,9,3,418.91773223876953,1,True
0,A2C,Bahrain GP (ALO),6,9,7,-3098.1108016967773,1,True
0,A2C,Bahrain GP (ALO),6,9,19,-6279.609420776367,2,True
0,A2C,Bahrain GP (ALO),6,9,14,-5540.297050476074,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4403.314414978027,1,True
0,A2C,Bahrain GP (ALO),6,9,8,-3630.5251693725586,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-645.215202331543,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3858.987129211426,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3630.24552154541,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-417.1221694946289,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2356.601921081543,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2881.0294647216797,1,True
0,A2C,Bahrain GP (ALO),6,9,8,-3649.7505111694336,2,True
0,A2C,Bahrain GP (ALO),6,9,20,-6660.5442237854,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2148.0990600585938,2,True
0,A2C,Bahrain GP (ALO),6,9,16,-6039.972389221191,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-614.9089889526367,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-4840.8321533203125,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2881.424003601074,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2139.558135986328,3,True
0,A2C,Bahrain GP (ALO),6,9,12,-5677.435562133789,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3637.618286132813,2,True
0,A2C,Bahrain GP (ALO),6,9,16,-6060.923896789551,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4379.6162109375,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4391.642677307129,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2672.9306564331055,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2133.29044342041,2,True
0,A2C,Bahrain GP (ALO),6,9,16,-6262.933502197266,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1589.145149230957,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2126.4699783325195,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-3099.1328353881836,4,True
0,A2C,Bahrain GP (ALO),6,9,5,-1378.6482696533203,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-3243.883514404297,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4195.845840454102,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2143.8029556274414,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2121.096786499023,3,True
0,A2C,Bahrain GP (ALO),6,9,1,3727.039321899414,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4391.227897644043,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2123.910469055176,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-845.3480987548828,1,True
0,A2C,Bahrain GP (ALO),6,9,12,-5860.704414367676,3,True
0,A2C,Bahrain GP (ALO),6,9,16,-6056.290588378906,1,True
0,A2C,Bahrain GP (ALO),6,9,3,419.41126251220703,1,True
0,A2C,Bahrain GP (ALO),6,9,8,-3630.2900314331055,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2138.8825607299805,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2278.134925842285,2,True
0,A2C,Bahrain GP (ALO),6,9,13,-5597.304527282715,3,True
0,A2C,Bahrain GP (ALO),6,9,20,-6637.414199829102,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2907.5007934570312,3,True
0,A2C,Bahrain GP (ALO),6,9,7,-3120.0171813964844,1,True
0,A2C,Bahrain GP (ALO),6,9,10,-4842.68196105957,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1590.6551361083984,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4611.107696533203,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2143.4668350219727,3,True
0,A2C,Bahrain GP (ALO),6,9,13,-5385.989227294922,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-834.9019546508789,3,True
0,A2C,Bahrain GP (ALO),6,9,2,1477.0162506103516,3,True
