gp_idx,algo,display_name,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),20,-6452.899703979492,2,True
0,A2C,Bahrain GP (ALO),17,-6007.804832458496,1,True
0,A2C,Bahrain GP (ALO),11,-4913.001434326172,1,True
0,A2C,Bahrain GP (ALO),15,-5725.685607910156,2,True
0,A2C,Bahrain GP (ALO),2,1582.665298461914,1,True
0,A2C,Bahrain GP (ALO),9,-4195.76594543457,2,True
0,A2C,Bahrain GP (ALO),16,-5849.80647277832,1,True
0,A2C,Bahrain GP (ALO),4,-626.2681274414062,3,True
0,A2C,Bahrain GP (ALO),13,-5502.976142883301,1,True
0,A2C,Bahrain GP (ALO),8,-3437.4684448242188,2,True
0,A2C,Bahrain GP (ALO),5,-1618.5271224975586,2,True
0,A2C,Bahrain GP (ALO),14,-5539.811485290527,2,True
0,A2C,Bahrain GP (ALO),6,-2038.8612213134768,2,True
0,A2C,Bahrain GP (ALO),5,-1176.246925354004,2,True
0,A2C,Bahrain GP (ALO),10,-4628.596519470215,1,True
0,A2C,Bahrain GP (ALO),3,411.9899215698242,1,True
0,A2C,Bahrain GP (ALO),3,271.6497268676758,2,True
0,A2C,Bahrain GP (ALO),3,638.6706771850586,2,True
0,A2C,Bahrain GP (ALO),4,-429.9346237182617,1,True
0,A2C,Bahrain GP (ALO),4,-740.7569198608398,2,True
0,A2C,Bahrain GP (ALO),4,-435.584587097168,2,True
0,A2C,Bahrain GP (ALO),5,-1305.6914138793943,2,True
0,A2C,Bahrain GP (ALO),6,-1935.6048278808591,2,True
0,A2C,Bahrain GP (ALO),5,-1224.7371292114258,2,True
0,A2C,Bahrain GP (ALO),19,-6333.084312438965,2,True
0,A2C,Bahrain GP (ALO),7,-2677.8171768188477,1,True
0,A2C,Bahrain GP (ALO),18,-6167.247840881348,1,True
0,A2C,Bahrain GP (ALO),2,1245.389663696289,1,True
0,A2C,Bahrain GP (ALO),4,-424.7582015991211,2,True
0,A2C,Bahrain GP (ALO),17,-6010.3723068237305,1,True
0,A2C,Bahrain GP (ALO),6,-1964.5143127441409,1,True
0,A2C,Bahrain GP (ALO),13,-5400.917694091797,1,True
0,A2C,Bahrain GP (ALO),13,-5514.157760620117,1,True
0,A2C,Bahrain GP (ALO),7,-2787.488250732422,1,True
0,A2C,Bahrain GP (ALO),14,-5640.948226928711,1,True
0,A2C,Bahrain GP (ALO),1,3806.927879333496,2,True
0,A2C,Bahrain GP (ALO),4,-445.49898529052734,2,True
0,A2C,Bahrain GP (ALO),10,-4760.111518859863,1,True
0,A2C,Bahrain GP (ALO),6,-1923.640167236328,2,True
0,A2C,Bahrain GP (ALO),7,-2906.450050354004,1,True
0,A2C,Bahrain GP (ALO),2,1465.4633255004885,3,True
0,A2C,Bahrain GP (ALO),4,-440.2989196777344,1,True
0,A2C,Bahrain GP (ALO),9,-3998.4504318237305,1,True
0,A2C,Bahrain GP (ALO),6,-1938.5265274047852,2,True
0,A2C,Bahrain GP (ALO),3,517.4192886352539,1,True
0,A2C,Bahrain GP (ALO),5,-1273.208999633789,1,True
0,A2C,Bahrain GP (ALO),2,1569.453987121582,1,True
0,A2C,Bahrain GP (ALO),20,-11705.237907409668,0,False
0,A2C,Bahrain GP (ALO),15,-5792.779167175293,2,True
0,A2C,Bahrain GP (ALO),5,-1205.4673767089844,2,True
0,A2C,Bahrain GP (ALO),9,-4397.330627441406,2,True
0,A2C,Bahrain GP (ALO),5,-1168.669578552246,2,True
0,A2C,Bahrain GP (ALO),20,-11685.370887756348,0,False
0,A2C,Bahrain GP (ALO),7,-2596.1436920166016,1,True
0,A2C,Bahrain GP (ALO),3,626.3715438842773,2,True
0,A2C,Bahrain GP (ALO),2,1670.1420288085938,2,True
0,A2C,Bahrain GP (ALO),8,-3855.096061706543,3,True
0,A2C,Bahrain GP (ALO),6,-1934.377685546875,2,True
0,A2C,Bahrain GP (ALO),5,-1282.198974609375,1,True
