gp,pair,metric,p_value,p_value_adjusted
Bahrain GP (ALO),mix-time,Race Time [s],1.736610550481494e-16,1.0419663302888964e-15
Bahrain GP (ALO),mix-pos,Race Time [s],4.1565037910894703e-10,1.6626015164357881e-09
Bahrain GP (ALO),mix-points,Race Time [s],2.3817647648430283e-12,1.1908823824215141e-11
Bahrain GP (ALO),time-pos,Race Time [s],0.04469696955546776,0.13409090866640327
Bahrain GP (ALO),time-points,Race Time [s],0.11324614327477069,0.22649228654954137
Bahrain GP (ALO),position-points,Race Time [s],0.5770212201541887,0.5770212201541887
Bahrain GP (ALO),mix-time,Final Position,7.94665140419867e-15,4.767990842519202e-14
Bahrain GP (ALO),mix-pos,Final Position,1.4083162315384514e-09,5.633264926153806e-09
Bahrain GP (ALO),mix-points,Final Position,5.034664048996107e-11,2.5173320244980535e-10
Bahrain GP (ALO),time-pos,Final Position,0.06316664113745128,0.18949992341235383
Bahrain GP (ALO),time-points,Final Position,0.18342203082619024,0.3668440616523805
Bahrain GP (ALO),position-points,Final Position,0.5919263343817671,0.5919263343817671
Bahrain GP (ALO),mix-time,Points,1.0400220128370691e-14,6.240132077022415e-14
Bahrain GP (ALO),mix-pos,Points,2.0267530594496112e-09,8.107012237798445e-09
Bahrain GP (ALO),mix-points,Points,6.106528456499394e-11,3.053264228249697e-10
Bahrain GP (ALO),time-pos,Points,0.054686259479614294,0.16405877843884287
Bahrain GP (ALO),time-points,Points,0.18483113785463534,0.3696622757092707
Bahrain GP (ALO),position-points,Points,0.5558671036111139,0.5558671036111139
Miami GP (OCO),mix-time,Race Time [s],0.1253111102561286,0.37593333076838575
Miami GP (OCO),mix-pos,Race Time [s],0.8728227164461857,0.8728227164461857
Miami GP (OCO),mix-points,Race Time [s],3.0693145406774203e-06,1.8415887244064523e-05
Miami GP (OCO),time-pos,Race Time [s],0.19244971946474287,0.38489943892948575
Miami GP (OCO),time-points,Race Time [s],0.002458704667080117,0.009834818668320469
Miami GP (OCO),position-points,Race Time [s],1.4837470153705966e-05,7.418735076852984e-05
Miami GP (OCO),mix-time,Final Position,0.27492301533174857,0.8247690459952457
Miami GP (OCO),mix-pos,Final Position,0.7994091310027097,0.8247690459952457
Miami GP (OCO),mix-points,Final Position,0.0011432766158855215,0.006859659695313129
Miami GP (OCO),time-pos,Final Position,0.38748316262790194,0.8247690459952457
Miami GP (OCO),time-points,Final Position,0.03782577510279599,0.15130310041118397
Miami GP (OCO),position-points,Final Position,0.0033941949370636625,0.016970974685318312
Miami GP (OCO),mix-time,Points,0.9858680616379497,1.0
Miami GP (OCO),mix-pos,Points,0.5872041977044934,1.0
Miami GP (OCO),mix-points,Points,0.13357260973211385,0.6678630486605692
Miami GP (OCO),time-pos,Points,0.5682816500588728,1.0
Miami GP (OCO),time-points,Points,0.14044684989678957,0.6678630486605692
Miami GP (OCO),position-points,Points,0.045699616906172635,0.2741977014370358
Dutch GP (RUS),mix-time,Race Time [s],5.750511824075654e-07,2.3002047296302617e-06
Dutch GP (RUS),mix-pos,Race Time [s],0.3507263178483335,0.701452635696667
Dutch GP (RUS),mix-points,Race Time [s],0.23265478809761897,0.6979643642928569
Dutch GP (RUS),time-pos,Race Time [s],1.373046355217737e-08,6.865231776088685e-08
Dutch GP (RUS),time-points,Race Time [s],1.900836480930162e-09,1.1405018885580971e-08
Dutch GP (RUS),position-points,Race Time [s],0.8385406725788038,0.8385406725788038
Dutch GP (RUS),mix-time,Final Position,3.797174619974266e-05,0.0001898587309987133
Dutch GP (RUS),mix-pos,Final Position,0.8279971839753375,0.8279971839753375
Dutch GP (RUS),mix-points,Final Position,0.15410865237976384,0.3356432146569644
Dutch GP (RUS),time-pos,Final Position,0.00011918070743379371,0.00047672282973517483
Dutch GP (RUS),time-points,Final Position,4.60516468922861e-08,2.763098813537166e-07
Dutch GP (RUS),position-points,Final Position,0.11188107155232146,0.3356432146569644
Dutch GP (RUS),mix-time,Points,3.637418218956138e-05,0.0001818709109478069
Dutch GP (RUS),mix-pos,Points,0.8300519816878906,0.8300519816878906
Dutch GP (RUS),mix-points,Points,0.15351904911536485,0.33530800505968555
Dutch GP (RUS),time-pos,Points,0.00011254965820470615,0.0004501986328188246
Dutch GP (RUS),time-points,Points,4.32646434570419e-08,2.595878607422514e-07
Dutch GP (RUS),position-points,Points,0.11176933501989518,0.33530800505968555
