gp,pair,metric,p_value,p_value_adjusted
Bahrain GP (ALO),mix-time,Race Time [s],0.007789978819498355,0.04673987291699013
Bahrain GP (ALO),mix-pos,Race Time [s],0.10163429022710378,0.5081714511355189
Bahrain GP (ALO),mix-points,Race Time [s],0.1883352975709648,0.5668297157637374
Bahrain GP (ALO),time-pos,Race Time [s],0.22966882849558334,0.5668297157637374
Bahrain GP (ALO),time-points,Race Time [s],0.14170742894093435,0.5668297157637374
Bahrain GP (ALO),position-points,Race Time [s],0.7778244777497725,0.7778244777497725
Bahrain GP (ALO),mix-time,Final Position,0.005462003657356986,0.032772021944141916
Bahrain GP (ALO),mix-pos,Final Position,0.14779206994151356,0.5911682797660542
Bahrain GP (ALO),mix-points,Final Position,0.2588983066200512,0.5911682797660542
Bahrain GP (ALO),time-pos,Final Position,0.18171612345875043,0.5911682797660542
Bahrain GP (ALO),time-points,Final Position,0.09802406541882995,0.49012032709414977
Bahrain GP (ALO),position-points,Final Position,0.7750545545949779,0.7750545545949779
Bahrain GP (ALO),mix-time,Points,0.01712532941995976,0.10275197651975856
Bahrain GP (ALO),mix-pos,Points,0.18497254405082653,0.7398901762033061
Bahrain GP (ALO),mix-points,Points,0.3733061445190984,0.9041554311597266
Bahrain GP (ALO),time-pos,Points,0.3013851437199089,0.9041554311597266
Bahrain GP (ALO),time-points,Points,0.13923658715131876,0.6961829357565938
Bahrain GP (ALO),position-points,Points,0.6800336134665528,0.9041554311597266
Miami GP (OCO),mix-time,Race Time [s],0.07170329039516359,0.4302197423709815
Miami GP (OCO),mix-pos,Race Time [s],0.7808484300202402,1.0
Miami GP (OCO),mix-points,Race Time [s],0.7326458166034082,1.0
Miami GP (OCO),time-pos,Race Time [s],0.12202629824320123,0.6101314912160062
Miami GP (OCO),time-points,Race Time [s],0.1444278749645755,0.6101314912160062
Miami GP (OCO),position-points,Race Time [s],0.964281608955792,1.0
Miami GP (OCO),mix-time,Final Position,0.06259911246076888,0.2503964498430755
Miami GP (OCO),mix-pos,Final Position,0.4628670051777978,1.0
Miami GP (OCO),mix-points,Final Position,0.6484268699042184,1.0
Miami GP (OCO),time-pos,Final Position,0.00821835863385809,0.04931015180314854
Miami GP (OCO),time-points,Final Position,0.021152923894457942,0.10576461947228971
Miami GP (OCO),position-points,Final Position,0.7880403785793522,1.0
Miami GP (OCO),mix-time,Points,0.13734686006849045,0.5493874402739618
Miami GP (OCO),mix-pos,Points,0.7344773921540377,1.0
Miami GP (OCO),mix-points,Points,0.6971800309445619,1.0
Miami GP (OCO),time-pos,Points,0.0647374223512075,0.36403272454588015
Miami GP (OCO),time-points,Points,0.06067212075764669,0.36403272454588015
Miami GP (OCO),position-points,Points,0.9573550300271799,1.0
Dutch GP (RUS),mix-time,Race Time [s],0.24947992623381776,0.997919704935271
Dutch GP (RUS),mix-pos,Race Time [s],0.7204016176358525,1.0
Dutch GP (RUS),mix-points,Race Time [s],0.8303353415879671,1.0
Dutch GP (RUS),time-pos,Race Time [s],0.13155382474226457,0.7893229484535874
Dutch GP (RUS),time-points,Race Time [s],0.17866949002412646,0.8933474501206323
Dutch GP (RUS),position-points,Race Time [s],0.8579252883957555,1.0
Dutch GP (RUS),mix-time,Final Position,0.00010036964584990444,0.00040147858339961777
Dutch GP (RUS),mix-pos,Final Position,0.307215317818339,0.921645953455017
Dutch GP (RUS),mix-points,Final Position,0.5849469642386302,1.0
Dutch GP (RUS),time-pos,Final Position,1.6195095625758086e-06,9.717057375454851e-06
Dutch GP (RUS),time-points,Final Position,1.0429389970610132e-05,5.214694985305066e-05
Dutch GP (RUS),position-points,Final Position,0.6436999438285338,1.0
Dutch GP (RUS),mix-time,Points,9.85020009652192e-05,0.0003940080038608768
Dutch GP (RUS),mix-pos,Points,0.30867467659032843,0.9260240297709853
Dutch GP (RUS),mix-points,Points,0.5873770312901665,1.0
Dutch GP (RUS),time-pos,Points,1.6205435575213658e-06,9.723261345128195e-06
Dutch GP (RUS),time-points,Points,1.0475798667689088e-05,5.237899333844544e-05
Dutch GP (RUS),position-points,Points,0.643534506824375,1.0
