gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,7,5756.017271261402,6,True
0,mix,13,5825.862207931306,0,True
0,mix,4,5611.88572501535,12,True
0,mix,4,5709.092020868591,12,True
0,mix,4,5622.629776563141,12,True
0,mix,5,5668.497110689019,10,True
0,mix,2,5646.583661045974,18,True
0,mix,8,5662.459191650574,4,True
0,mix,7,5690.408731583333,6,True
0,mix,5,5664.435281890863,10,True
0,mix,10,5817.577315440292,1,True
0,mix,14,5745.73319502366,0,True
0,mix,7,5708.576261064142,6,True
0,mix,6,5634.480767249653,8,True
0,mix,2,5729.0251537078175,18,True
0,mix,8,5713.854205525982,4,True
0,mix,11,5702.473697320684,0,True
0,mix,3,5786.054626500063,15,True
0,mix,5,5675.8531888468115,10,True
0,mix,2,5689.378940489335,18,True
0,mix,9,5692.089188500294,2,True
0,mix,7,5670.062302740897,6,True
0,mix,12,5724.449505367749,0,True
0,mix,4,5730.757887245898,12,True
0,mix,18,5742.992386339106,0,True
0,mix,15,5835.382475827057,0,True
0,mix,5,5878.457452332958,10,True
0,mix,13,5728.10212012905,0,True
0,mix,3,5785.719601852707,15,True
0,mix,3,5721.672975783904,15,True
0,mix,2,5675.462493785141,18,True
0,mix,3,5645.988744519718,15,True
0,mix,12,5730.3067102029545,0,True
0,mix,3,5727.468847354388,15,True
0,mix,5,5755.821338011673,10,True
0,mix,2,5622.288648926386,18,True
0,mix,3,5653.049747538409,15,True
0,mix,17,5864.20294100458,0,True
0,mix,7,5663.126911956313,6,True
0,mix,3,5638.222467664935,15,True
0,mix,3,5632.222816475317,15,True
0,mix,6,5780.477798263658,8,True
0,mix,7,5668.297833220583,6,True
0,mix,7,5656.896280505881,6,True
0,mix,4,5678.860782771075,12,True
0,mix,6,5869.520740581414,8,True
0,mix,8,5705.376925135342,4,True
0,mix,7,5754.986642558962,6,True
0,mix,4,5706.78999936678,12,True
0,mix,4,5638.1855001575495,12,True
0,mix,7,5789.826536582135,6,True
0,mix,8,5767.107318975124,4,True
0,mix,6,5671.022895060341,8,True
0,mix,5,5611.903610369472,10,True
0,mix,10,5716.042624733883,1,True
0,mix,3,5646.112591582438,15,True
0,mix,5,5892.888762449201,10,True
0,mix,6,5694.108544510667,8,True
0,mix,3,5750.044836695374,15,True
0,mix,1,5617.194595775676,25,True
0,mix,3,5626.208858239156,15,True
0,mix,1,5627.585841040018,25,True
0,mix,5,5673.93024817935,10,True
0,mix,10,5709.22420624536,1,True
0,mix,3,5748.546951664612,15,True
0,mix,8,5729.056454936766,4,True
0,mix,3,5610.620369708769,15,True
0,mix,6,5687.272994014317,8,True
0,mix,3,5648.017451154439,15,True
0,mix,3,5619.440978403188,15,True
0,mix,3,5679.126965070095,15,True
